StudentID,StudentName,Grade,Email,AssessmentID,Subject,TotalMarks,QuestionID,CorrectAnswer,ResultID,MarksObtained,Percentage,AttemptDate,TeacherName,AttendanceStatus
STU000002,Sean Harris,Grade 8,sean.harris79@school.edu,ASM00003,Economics,150,Q000002,A,RES000002,80,53.33,2025-10-27,Ms. Patel,Absent
STU000003,Yvonne Cole,Grade 10,abc@gmail.com,ASM00004,Computer Science,50,Q000003,D,RES000003,8,16.0,2024-03-16,Mr. Shah,Late
STU000004,Jesse Jensen,Grade 8,jesse.jensen727@school.edu,ASM00005,History,50,Q000004,D,RES000004,12,24.0,2024-05-22,Mr. Shah,Late
STU000005,Earline Calisto,Class 7,earline.calisto408@school.edu,ASM00006,Geography,200,Q000005,A,RES000005,18,9.0,2024-05-08,Mr. Shah,Excused
STU000006,Dorothy Mccracken,Grade 7,dorothy.mccracken515@school.edu,ASM00007,Economics,100,Q000006,B,RES000006,21,21.0,2024-06-14,Mr. Shah,Late
STU000007,Daniel Howry,Class 7,daniel.howry547@school.edu,ASM00008,Chemistry,75,Q000007,A,RES000007,43,57.33,2025-07-31,Mrs. Singh,Present
STU000008,Harold Metzler,Class 7,harold.metzler32@school.edu,ASM00009,English,150,Q000008,D,RES000008,62,41.33,2025-12-02,Mrs. Singh,Present
STU000009,Cathleen Bergeron,Grade 11,cathleen.bergeron736@school.edu,ASM00010,Geography,100,Q000009,B,RES000009,65,65.0,2025-07-29,Mr. Sharma,Present
STU000011,Veronica Sierra,Grade 10,veronica.sierra50@school.edu,ASM00012,Computer Science,100,Q000011,B,RES000011,68,68.0,2024-01-09,Ms. Nair,Late
STU000012,Samantha Baker,Class 7,samantha.baker76@school.edu,ASM00013,Computer Science,200,Q000012,A,RES000012,174,87.0,2025-09-17,Mr. Kumar,Late
STU000013,John Clark,Grade 6,john.clark42@school.edu,ASM00014,Chemistry,150,Q000013,B,RES000013,132,88.0,2025-04-12,Mr. Verma,Late
STU000014,Bonnie Vanaria,Grade 10,bonnie.vanaria502@school.edu,ASM00015,Computer Science,100,Q000014,C,RES000014,42,42.0,2025-11-20,Ms. Nair,Excused
STU000015,Kimberley Debellis,Class 8,kimberley.debellis175@school.edu,ASM00016,Geography,75,Q000015,A,RES000015,4,5.33,2025-08-09,Mr. Joshi,Late
STU000016,Amy Cole,Grade 8,amy.cole869@school.edu,ASM00017,Economics,200,Q000016,D,RES000016,83,41.5,2025-11-09,Ms. Gupta,Absent
STU000017,Paul Johnson,Class 8,paul.johnson710@school.edu,ASM00018,Computer Science,75,Q000017,C,RES000017,35,46.67,2025-07-25,Ms. Gupta,Absent
STU000018,Ruth Thompson,Class 7,ruth.thompson588@school.edu,ASM00019,Geography,100,Q000018,C,RES000018,98,98.0,2024-05-29,Mrs. Singh,Late
STU000019,David Mcrae,Grade 8,david.mcrae713@school.edu,ASM00020,Physics,75,Q000019,B,RES000019,6,8.0,2025-11-16,Mr. Kumar,Present
